ForecastKey,DateKey,Chain_ID,Zone,SKU_Code,Forecast_Qty,Forecast_Revenue,Target_Revenue,Forecast_CM2_Value,Confidence_Level,Forecast_Type
169,202604,CH04,West,SKU-201,266,25988.97,26146.26,9081.58,0.81,Rolling
170,202604,CH04,West,SKU-202,300,73485.44,74067.6,23608.53,0.83,Rolling
171,202604,CH04,West,SKU-203,259,37343.08,36505.58,12842.15,0.74,Rolling
172,202604,CH04,West,SKU-301,263,40800.37,41047.1,14175.71,0.85,Rolling
173,202604,CH04,West,SKU-302,265,21925.45,22022.44,7641.38,0.84,Rolling
174,202604,CH04,West,SKU-303,287,61052.48,63766.19,20036.67,0.7,Rolling
175,202604,CH04,West,SKU-401,269,89844.55,85389.18,29674.58,0.94,Rolling
176,202604,CH04,West,SKU-402,279,35756.83,35242.25,11624.37,0.68,Rolling
177,202604,CH05,North,SKU-101,252,46839.32,46659.73,15276.39,0.74,Rolling
178,202604,CH05,North,SKU-102,254,76067.72,77094.26,25225.31,0.92,Rolling
179,202604,CH05,North,SKU-103,321,46257.98,46376.55,14929.19,0.78,Rolling
180,202604,CH05,North,SKU-201,274,27592.54,27709.66,9623.29,0.71,Rolling
181,202604,CH05,North,SKU-202,277,57003.69,57299.13,18420.64,0.66,Rolling
182,202604,CH05,North,SKU-203,252,35578.67,34520.13,12098.45,0.7,Rolling
183,202604,CH05,North,SKU-301,275,43005.4,45134.4,14971.67,0.65,Rolling
184,202604,CH05,North,SKU-302,293,27974.25,27363.93,9272.38,0.68,Rolling
185,202604,CH05,North,SKU-303,247,53515.63,54108.3,18274.28,0.88,Rolling
186,202604,CH05,North,SKU-401,258,82333.89,81104.23,26943.27,0.67,Rolling
187,202604,CH05,North,SKU-402,253,37084.59,35750.53,12465.22,0.83,Rolling
188,202604,CH05,South,SKU-101,272,50449.67,48185.85,16742.74,0.71,Rolling
189,202604,CH05,South,SKU-102,273,79097.51,78577.34,26230.32,0.9,Rolling
190,202604,CH05,South,SKU-103,255,40631.25,40302.95,13364.39,0.79,Rolling
191,202604,CH05,South,SKU-201,244,23528.01,22791.92,7884.83,0.9,Rolling
192,202604,CH05,South,SKU-202,288,59343.18,59751.58,19984.44,0.9,Rolling
193,202604,CH05,South,SKU-203,262,32323.57,32353.03,10882.23,0.9,Rolling
194,202604,CH05,South,SKU-301,270,42025.6,43455.89,13635.17,0.91,Rolling
195,202604,CH05,South,SKU-302,278,23040.95,24023.64,7395.37,0.79,Rolling
196,202604,CH05,South,SKU-303,261,55524.12,54748.88,18478.82,0.94,Rolling
197,202604,CH05,South,SKU-401,267,92430.86,94428.21,29881.32,0.73,Rolling
198,202604,CH05,South,SKU-402,231,33344.82,31759.82,11345.9,0.93,Rolling
199,202604,CH05,East,SKU-101,257,53739.64,56223.91,17575.44,0.68,Rolling
200,202604,CH05,East,SKU-102,250,75047.74,76355.35,24771.94,0.7,Rolling
201,202604,CH05,East,SKU-103,274,43434.97,43180.26,14340.45,0.74,Rolling
202,202604,CH05,East,SKU-201,255,24505.29,24130.01,7868.58,0.71,Rolling
203,202604,CH05,East,SKU-202,282,65160.6,66573.83,21987.5,0.94,Rolling
204,202604,CH05,East,SKU-203,252,32167.18,32493.06,10980.77,0.75,Rolling
205,202604,CH05,East,SKU-301,272,40734.23,42176.28,13977.81,0.67,Rolling
206,202604,CH05,East,SKU-302,276,24549.94,25671.6,8503.41,0.77,Rolling
207,202604,CH05,East,SKU-303,260,52317.02,50298.88,17603.54,0.65,Rolling
208,202604,CH05,East,SKU-401,261,99989.21,102261.39,33045.4,0.68,Rolling
209,202604,CH05,East,SKU-402,271,37107.75,38352.2,12560.0,0.84,Rolling
210,202604,CH05,West,SKU-101,272,56453.19,56525.02,18582.85,0.79,Rolling
211,202604,CH05,West,SKU-102,253,72865.26,69974.7,23748.93,0.79,Rolling
212,202604,CH05,West,SKU-103,293,46051.91,45310.6,15526.05,0.78,Rolling
213,202604,CH05,West,SKU-201,278,28875.68,28286.6,9522.78,0.94,Rolling
214,202604,CH05,West,SKU-202,253,56777.12,58838.28,18878.4,0.87,Rolling
215,202604,CH05,West,SKU-203,290,38646.89,38092.52,13332.62,0.66,Rolling
216,202604,CH05,West,SKU-301,261,40158.8,39902.95,13501.33,0.71,Rolling
217,202604,CH05,West,SKU-302,267,25263.44,24659.23,8742.03,0.84,Rolling
218,202604,CH05,West,SKU-303,292,55743.65,55082.76,18433.59,0.76,Rolling
219,202604,CH05,West,SKU-401,261,86088.61,89067.11,29646.51,0.79,Rolling
220,202604,CH05,West,SKU-402,290,35872.4,36300.02,11971.96,0.82,Rolling
221,202604,CH06,North,SKU-101,276,48856.72,47199.09,16708.81,0.78,Rolling
222,202604,CH06,North,SKU-102,267,78443.86,75974.18,26577.37,0.7,Rolling
223,202604,CH06,North,SKU-103,238,34352.32,35688.6,11049.38,0.7,Rolling
224,202604,CH06,North,SKU-201,272,25879.2,24604.01,9048.46,0.85,Rolling
225,202604,CH06,North,SKU-202,263,56333.31,55459.44,19123.54,0.91,Rolling
226,202604,CH06,North,SKU-203,253,31966.47,31055.4,10264.92,0.69,Rolling
227,202604,CH06,North,SKU-301,298,41709.12,43626.6,14446.78,0.88,Rolling
228,202604,CH06,North,SKU-302,301,28158.58,28693.57,9745.48,0.89,Rolling
229,202604,CH06,North,SKU-303,263,50257.23,49395.78,16245.0,0.93,Rolling
230,202604,CH06,North,SKU-401,260,89655.27,93778.77,29590.85,0.88,Rolling
231,202604,CH06,North,SKU-402,290,38539.08,39493.87,13387.97,0.88,Rolling
232,202604,CH06,South,SKU-101,256,48115.95,48482.74,16597.26,0.71,Rolling
233,202604,CH06,South,SKU-102,285,88133.53,85242.49,29315.02,0.9,Rolling
234,202604,CH06,South,SKU-103,263,41158.63,41492.52,13825.06,0.9,Rolling
235,202604,CH06,South,SKU-201,256,24904.02,25142.95,8156.47,0.75,Rolling
236,202604,CH06,South,SKU-202,269,55645.71,56680.33,18522.74,0.91,Rolling
237,202604,CH06,South,SKU-203,279,38774.35,37199.04,13316.2,0.95,Rolling
238,202604,CH06,South,SKU-301,271,39163.15,38918.76,13538.03,0.7,Rolling
239,202604,CH06,South,SKU-302,258,23607.54,23314.54,8211.46,0.68,Rolling
240,202604,CH06,South,SKU-303,264,50087.27,50870.7,16274.68,0.67,Rolling
241,202604,CH06,South,SKU-401,248,88143.06,90755.14,29085.41,0.83,Rolling
242,202604,CH06,South,SKU-402,270,38424.55,39310.4,12349.29,0.81,Rolling
243,202604,CH06,East,SKU-101,268,49114.84,47984.38,16322.84,0.72,Rolling
244,202604,CH06,East,SKU-102,248,72204.44,74813.64,24905.77,0.73,Rolling
245,202604,CH06,East,SKU-103,272,44563.03,44136.4,14786.47,0.74,Rolling
246,202604,CH06,East,SKU-201,268,27217.98,28034.37,9390.96,0.74,Rolling
247,202604,CH06,East,SKU-202,268,54996.89,57137.07,17960.64,0.85,Rolling
248,202604,CH06,East,SKU-203,274,39774.85,38190.11,13142.04,0.81,Rolling
249,202604,CH06,East,SKU-301,286,45941.18,45480.11,14961.55,0.88,Rolling
250,202604,CH06,East,SKU-302,244,19716.16,19433.07,6664.7,0.82,Rolling
251,202604,CH06,East,SKU-303,265,50284.77,50062.93,17529.15,0.91,Rolling
252,202604,CH06,East,SKU-401,250,95153.15,95407.68,31984.32,0.88,Rolling
253,202604,CH06,East,SKU-402,261,38615.19,39279.94,12534.97,0.69,Rolling
254,202604,CH06,West,SKU-101,254,46896.93,44652.39,16335.38,0.7,Rolling
255,202604,CH06,West,SKU-102,256,79539.47,82555.49,26542.86,0.77,Rolling
256,202604,CH06,West,SKU-103,273,38011.78,39681.34,12376.67,0.71,Rolling
257,202604,CH06,West,SKU-201,269,25449.95,24553.99,8432.7,0.86,Rolling
258,202604,CH06,West,SKU-202,256,57960.57,60212.88,19114.36,0.69,Rolling
259,202604,CH06,West,SKU-203,269,33907.83,33652.45,10868.6,0.66,Rolling
260,202604,CH06,West,SKU-301,269,43533.77,43978.48,14523.65,0.77,Rolling
261,202604,CH06,West,SKU-302,270,25509.89,26781.06,8302.06,0.69,Rolling
262,202604,CH06,West,SKU-303,250,51513.51,53305.79,17646.2,0.78,Rolling
263,202604,CH06,West,SKU-401,275,97031.17,96794.91,32927.81,0.82,Rolling
264,202604,CH06,West,SKU-402,277,39220.29,39780.37,13162.03,0.85,Rolling
265,202604,CH07,North,SKU-101,268,46645.68,46925.39,15753.16,0.94,Rolling
266,202604,CH07,North,SKU-102,263,71508.96,68437.89,24540.74,0.72,Rolling
267,202604,CH07,North,SKU-103,275,41574.57,43139.24,13857.38,0.74,Rolling
268,202604,CH07,North,SKU-201,294,28649.94,27291.82,9245.32,0.74,Rolling
269,202604,CH07,North,SKU-202,264,58616.38,57533.37,20412.37,0.9,Rolling
270,202604,CH07,North,SKU-203,289,41437.02,40108.35,13972.42,0.95,Rolling
271,202604,CH07,North,SKU-301,260,39449.44,37634.0,13526.84,0.7,Rolling
272,202604,CH07,North,SKU-302,276,26323.03,25774.79,8602.21,0.69,Rolling
273,202604,CH07,North,SKU-303,305,63764.0,63760.2,21312.6,0.68,Rolling
274,202604,CH07,North,SKU-401,273,104693.2,107798.21,34798.95,0.7,Rolling
275,202604,CH07,North,SKU-402,285,36502.23,35449.22,12290.55,0.89,Rolling
276,202604,CH07,South,SKU-101,261,49778.8,51013.87,16260.24,0.72,Rolling
277,202604,CH07,South,SKU-102,253,70681.16,69395.7,24646.22,0.89,Rolling
278,202604,CH07,South,SKU-103,281,45991.69,47499.62,14943.12,0.91,Rolling
279,202604,CH07,South,SKU-201,259,27728.03,28154.5,8951.94,0.75,Rolling
280,202604,CH07,South,SKU-202,281,57972.79,56679.42,18984.17,0.72,Rolling
281,202604,CH07,South,SKU-203,254,33430.63,34501.56,10882.28,0.79,Rolling
282,202604,CH07,South,SKU-301,285,39962.06,40331.49,13697.51,0.71,Rolling
283,202604,CH07,South,SKU-302,273,25232.32,25996.84,8739.96,0.93,Rolling
284,202604,CH07,South,SKU-303,265,55888.43,56990.21,19553.44,0.65,Rolling
285,202604,CH07,South,SKU-401,263,88450.28,85996.05,30185.76,0.68,Rolling
286,202604,CH07,South,SKU-402,282,36560.03,35656.39,12388.95,0.88,Rolling
287,202604,CH07,East,SKU-101,292,60950.85,61446.9,21165.77,0.89,Rolling
288,202604,CH07,East,SKU-102,294,92068.68,91824.97,31666.61,0.69,Rolling
289,202604,CH07,East,SKU-103,265,38706.5,37248.26,13321.73,0.65,Rolling
290,202604,CH07,East,SKU-201,261,27597.16,26918.97,9045.52,0.8,Rolling
291,202604,CH07,East,SKU-202,277,58272.9,56799.61,20349.62,0.77,Rolling
292,202604,CH07,East,SKU-203,275,37333.1,35743.15,11985.5,0.79,Rolling
293,202604,CH07,East,SKU-301,265,41696.86,43752.11,13837.91,0.84,Rolling
294,202604,CH07,East,SKU-302,268,21939.61,21966.17,7204.35,0.7,Rolling
295,202604,CH07,East,SKU-303,266,55184.88,54943.39,18538.49,0.69,Rolling
296,202604,CH07,East,SKU-401,249,95618.65,91758.05,31417.61,0.91,Rolling
297,202604,CH07,East,SKU-402,240,32788.63,32487.85,10796.98,0.74,Rolling
298,202604,CH07,West,SKU-101,260,52014.72,52897.53,17891.11,0.73,Rolling
299,202604,CH07,West,SKU-102,276,83697.51,82101.03,28398.18,0.91,Rolling
300,202604,CH07,West,SKU-103,265,40401.22,39778.93,13743.15,0.94,Rolling
301,202604,CH07,West,SKU-201,269,28786.87,27645.47,9430.73,0.93,Rolling
302,202604,CH07,West,SKU-202,278,58823.21,59898.71,20172.36,0.9,Rolling
303,202604,CH07,West,SKU-203,260,35711.04,36412.9,12066.84,0.69,Rolling
304,202604,CH07,West,SKU-301,315,45679.45,47112.09,15465.14,0.9,Rolling
305,202604,CH07,West,SKU-302,271,25734.28,24540.86,8895.93,0.72,Rolling
306,202604,CH07,West,SKU-303,289,58669.37,60946.38,19607.67,0.87,Rolling
307,202604,CH07,West,SKU-401,286,108700.52,108122.61,35348.73,0.66,Rolling
308,202604,CH07,West,SKU-402,257,35331.77,34218.62,11347.43,0.66,Rolling
309,202604,CH08,North,SKU-101,288,53824.63,55946.55,17337.23,0.94,Rolling
310,202604,CH08,North,SKU-102,275,81859.18,84015.19,27249.31,0.91,Rolling
311,202604,CH08,North,SKU-103,250,35103.63,34088.71,11484.57,0.93,Rolling
312,202604,CH08,North,SKU-201,241,25216.26,26221.61,8823.95,0.88,Rolling
313,202604,CH08,North,SKU-202,242,55698.01,54866.55,18280.17,0.82,Rolling
314,202604,CH08,North,SKU-203,301,43002.48,43960.27,15004.37,0.93,Rolling
315,202604,CH08,North,SKU-301,283,40630.77,40814.57,13934.75,0.92,Rolling
316,202604,CH08,North,SKU-302,285,25548.77,25120.0,8182.66,0.71,Rolling
317,202604,CH08,North,SKU-303,247,47163.16,46147.73,16450.42,0.76,Rolling
318,202604,CH08,North,SKU-401,247,80056.2,80802.8,26072.74,0.76,Rolling
319,202604,CH08,North,SKU-402,291,42660.64,42651.84,14161.84,0.88,Rolling
320,202604,CH08,South,SKU-101,240,47393.05,47331.16,16289.58,0.92,Rolling
321,202604,CH08,South,SKU-102,265,76329.97,80006.1,26328.69,0.92,Rolling
