SalesKey,DateKey,Chain_ID,Zone,SKU_Code,Ordered_Qty,Delivered_Qty,Actual_Qty,Actual_Revenue,Base_COGS,Logistics_Cost,Scheme_Adjustment,Promo_Cost,CM2_Provisional,Metric_Type
113,202604,CH03,East,SKU-103,250,236,236,36121.58,22420.0,2889.73,1260.96,673.06,13701.58,Actual
114,202604,CH03,East,SKU-201,297,282,282,28575.09,18330.0,2286.01,897.7,489.26,10245.09,Actual
115,202604,CH03,East,SKU-202,308,283,283,59265.88,39620.0,4741.27,1375.78,813.8,19645.88,Actual
116,202604,CH03,East,SKU-203,312,282,282,41205.14,23970.0,3296.41,1256.35,0,17235.14,Actual
117,202604,CH03,East,SKU-301,319,297,297,41860.1,28215.0,3348.81,1648.84,0,13645.1,Actual
118,202604,CH03,East,SKU-302,351,320,320,26881.73,17600.0,2150.54,897.12,0,9281.73,Actual
119,202604,CH03,East,SKU-303,279,257,257,52090.17,32125.0,4167.21,1843.46,0,19965.17,Actual
120,202604,CH03,East,SKU-401,304,285,285,98917.46,62700.0,7913.4,2457.92,1216.36,36217.46,Actual
121,202604,CH03,East,SKU-402,331,301,301,41559.54,25585.0,3324.76,1231.11,858.28,15974.54,Actual
122,202604,CH03,West,SKU-101,279,252,252,45067.41,30240.0,2253.37,1793.65,0,14827.41,Actual
123,202604,CH03,West,SKU-102,314,299,299,82150.43,53820.0,4107.52,2892.07,0,28330.43,Actual
124,202604,CH03,West,SKU-103,254,235,235,35129.55,22325.0,1756.48,1355.67,0,12804.55,Actual
125,202604,CH03,West,SKU-201,297,271,271,30500.41,17615.0,1525.02,650.57,0,12885.41,Actual
126,202604,CH03,West,SKU-202,340,309,309,73652.25,43260.0,3682.61,2644.51,1033.53,30392.25,Actual
127,202604,CH03,West,SKU-203,301,286,286,41190.19,24310.0,2059.51,1254.71,707.51,16880.19,Actual
128,202604,CH03,West,SKU-301,352,329,329,52976.59,31255.0,2648.83,1458.92,1019.99,21721.59,Actual
129,202604,CH03,West,SKU-302,313,287,287,25268.88,15785.0,1263.44,960.0,0,9483.88,Actual
130,202604,CH03,West,SKU-303,245,232,232,49936.31,29000.0,2496.82,1115.48,0,20936.31,Actual
131,202604,CH03,West,SKU-401,366,333,333,113587.56,73260.0,5679.38,4075.58,2544.53,40327.56,Actual
132,202604,CH03,West,SKU-402,326,297,297,42577.69,25245.0,2128.88,1117.0,637.38,17332.69,Actual
133,202604,CH04,North,SKU-101,340,326,326,63412.23,39120.0,3804.73,2380.2,0,24292.23,Actual
134,202604,CH04,North,SKU-102,315,304,304,81160.13,54720.0,4869.61,1830.14,0,26440.13,Actual
135,202604,CH04,North,SKU-103,245,224,224,31813.07,21280.0,1908.78,1095.8,776.26,10533.07,Actual
136,202604,CH04,North,SKU-201,332,305,305,31974.1,19825.0,1918.45,860.55,435.87,12149.1,Actual
137,202604,CH04,North,SKU-202,357,334,334,73425.14,46760.0,4405.51,2859.59,959.45,26665.14,Actual
138,202604,CH04,North,SKU-203,330,297,297,41236.1,25245.0,2474.17,1543.98,1181.1,15991.1,Actual
139,202604,CH04,North,SKU-301,328,313,313,51344.91,29735.0,3080.69,1183.54,1105.24,21609.91,Actual
140,202604,CH04,North,SKU-302,331,322,322,29592.23,17710.0,1775.53,1139.64,562.75,11882.23,Actual
141,202604,CH04,North,SKU-303,268,259,259,55887.43,32375.0,3353.25,1697.68,0,23512.43,Actual
142,202604,CH04,North,SKU-401,330,305,305,98397.35,67100.0,5903.84,3547.92,993.09,31297.35,Actual
143,202604,CH04,North,SKU-402,314,305,305,41770.84,25925.0,2506.25,1124.76,0,15845.84,Actual
144,202604,CH04,South,SKU-101,315,289,289,54990.88,34680.0,2749.54,1597.42,704.83,20310.88,Actual
145,202604,CH04,South,SKU-102,302,293,293,83101.24,52740.0,4155.06,2264.33,0,30361.24,Actual
146,202604,CH04,South,SKU-103,254,242,242,33425.81,22990.0,1671.29,787.54,0,10435.81,Actual
147,202604,CH04,South,SKU-201,378,342,342,34998.63,22230.0,1749.93,1397.76,0,12768.63,Actual
148,202604,CH04,South,SKU-202,325,311,311,64009.15,43540.0,3200.46,1548.9,0,20469.15,Actual
149,202604,CH04,South,SKU-203,356,321,321,41124.12,27285.0,2056.21,1210.75,0,13839.12,Actual
150,202604,CH04,South,SKU-301,328,307,307,49074.73,29165.0,2453.74,1496.18,0,19909.73,Actual
151,202604,CH04,South,SKU-302,321,292,292,25983.35,16060.0,1299.17,614.21,0,9923.35,Actual
152,202604,CH04,South,SKU-303,244,227,227,46625.8,28375.0,2331.29,956.19,611.87,18250.8,Actual
153,202604,CH04,South,SKU-401,338,310,310,99444.38,68200.0,4972.22,2448.47,0,31244.38,Actual
154,202604,CH04,South,SKU-402,335,322,322,40541.34,27370.0,2027.07,955.6,0,13171.34,Actual
155,202604,CH04,East,SKU-101,334,307,307,54517.03,36840.0,4361.36,1877.86,0,17677.03,Actual
156,202604,CH04,East,SKU-102,349,332,332,93772.71,59760.0,7501.82,2259.89,0,34012.71,Actual
157,202604,CH04,East,SKU-103,240,217,217,29972.16,20615.0,2397.77,724.06,0,9357.16,Actual
158,202604,CH04,East,SKU-201,330,318,318,35506.96,20670.0,2840.56,952.88,0,14836.96,Actual
159,202604,CH04,East,SKU-202,309,284,284,64693.04,39760.0,5175.44,2101.42,0,24933.04,Actual
160,202604,CH04,East,SKU-203,319,294,294,39505.14,24990.0,3160.41,1539.48,0,14515.14,Actual
161,202604,CH04,East,SKU-301,341,320,320,52000.43,30400.0,4160.03,1970.35,1351.86,21600.43,Actual
162,202604,CH04,East,SKU-302,321,302,302,25423.32,16610.0,2033.87,830.57,385.36,8813.32,Actual
163,202604,CH04,East,SKU-303,230,216,216,47123.66,27000.0,3769.89,1104.28,0,20123.66,Actual
164,202604,CH04,East,SKU-401,310,281,281,106595.59,61820.0,8527.65,3360.99,0,44775.59,Actual
165,202604,CH04,East,SKU-402,310,299,299,41818.5,25415.0,3345.48,1009.01,0,16403.5,Actual
166,202604,CH04,West,SKU-101,356,337,337,65885.82,40440.0,3294.29,2194.05,0,25445.82,Actual
167,202604,CH04,West,SKU-102,319,288,288,83238.21,51840.0,4161.91,1941.59,0,31398.21,Actual
168,202604,CH04,West,SKU-103,261,240,240,37185.56,22800.0,1859.28,1033.23,586.56,14385.56,Actual
169,202604,CH04,West,SKU-201,315,297,297,29713.03,19305.0,1485.65,877.16,0,10408.03,Actual
170,202604,CH04,West,SKU-202,339,312,312,63744.62,43680.0,3187.23,2033.55,0,20064.62,Actual
171,202604,CH04,West,SKU-203,279,258,258,35725.13,21930.0,1786.26,1265.32,433.42,13795.13,Actual
172,202604,CH04,West,SKU-301,288,275,275,41764.66,26125.0,2088.23,1198.5,0,15639.66,Actual
173,202604,CH04,West,SKU-302,309,295,295,27417.41,16225.0,1370.87,697.58,597.83,11192.41,Actual
174,202604,CH04,West,SKU-303,244,222,222,47874.14,27750.0,2393.71,1867.32,905.78,20124.14,Actual
175,202604,CH04,West,SKU-401,304,291,291,109594.8,64020.0,5479.74,3959.79,0,45574.8,Actual
176,202604,CH04,West,SKU-402,334,307,307,44485.68,26095.0,2224.28,1325.16,641.67,18390.68,Actual
177,202604,CH05,North,SKU-101,361,351,351,68250.56,42120.0,4095.03,1411.35,1634.49,26130.56,Actual
178,202604,CH05,North,SKU-102,312,304,304,95284.89,54720.0,5717.09,2809.41,0,40564.89,Actual
179,202604,CH05,North,SKU-103,270,260,260,38179.53,24700.0,2290.77,791.85,0,13479.53,Actual
180,202604,CH05,North,SKU-201,330,299,299,28883.72,19435.0,1733.02,979.9,0,9448.72,Actual
181,202604,CH05,North,SKU-202,314,290,290,59666.04,40600.0,3579.96,1837.11,0,19066.04,Actual
182,202604,CH05,North,SKU-203,343,333,333,46357.01,28305.0,2781.42,1498.13,0,18052.01,Actual
183,202604,CH05,North,SKU-301,308,277,277,45025.75,26315.0,2701.54,1688.2,0,18710.75,Actual
184,202604,CH05,North,SKU-302,326,319,319,29644.65,17545.0,1778.68,800.83,751.31,12099.65,Actual
185,202604,CH05,North,SKU-303,245,237,237,48533.2,29625.0,2911.99,1925.88,0,18908.2,Actual
186,202604,CH05,North,SKU-401,341,327,327,113406.73,71940.0,6804.4,2809.71,1384.64,41466.73,Actual
187,202604,CH05,North,SKU-402,315,289,289,37802.89,24565.0,2268.17,787.88,391.54,13237.89,Actual
188,202604,CH05,South,SKU-101,318,310,310,56375.71,37200.0,2818.79,2014.13,0,19175.71,Actual
189,202604,CH05,South,SKU-102,291,283,283,87297.69,50940.0,4364.88,2562.02,1943.96,36357.69,Actual
190,202604,CH05,South,SKU-103,257,236,236,35957.34,22420.0,1797.87,846.1,0,13537.34,Actual
191,202604,CH05,South,SKU-201,306,283,283,30974.89,18395.0,1548.74,655.33,0,12579.89,Actual
192,202604,CH05,South,SKU-202,302,288,288,67635.65,40320.0,3381.78,1560.89,0,27315.65,Actual
193,202604,CH05,South,SKU-203,345,325,325,41911.14,27625.0,2095.56,1335.24,905.35,14286.14,Actual
194,202604,CH05,South,SKU-301,292,265,265,38509.69,25175.0,1925.48,1454.7,0,13334.69,Actual
195,202604,CH05,South,SKU-302,345,312,312,27717.81,17160.0,1385.89,780.78,0,10557.81,Actual
196,202604,CH05,South,SKU-303,244,229,229,47718.62,28625.0,2385.93,1031.72,0,19093.62,Actual
197,202604,CH05,South,SKU-401,306,296,296,95911.29,65120.0,4795.56,2868.03,1880.99,30791.29,Actual
198,202604,CH05,South,SKU-402,330,314,314,41485.41,26690.0,2074.27,1299.1,636.41,14795.41,Actual
199,202604,CH05,East,SKU-101,352,340,340,67219.45,40800.0,5377.56,2510.37,0,26419.45,Actual
200,202604,CH05,East,SKU-102,338,322,322,96169.63,57960.0,7693.57,3113.23,0,38209.63,Actual
201,202604,CH05,East,SKU-103,262,254,254,41365.12,24130.0,3309.21,851.5,0,17235.12,Actual
202,202604,CH05,East,SKU-201,347,332,332,33460.56,21580.0,2676.84,776.79,882.0,11880.56,Actual
203,202604,CH05,East,SKU-202,347,320,320,65045.83,44800.0,5203.67,2103.49,1926.9,20245.83,Actual
204,202604,CH05,East,SKU-203,332,313,313,43637.57,26605.0,3491.01,1553.36,0,17032.57,Actual
205,202604,CH05,East,SKU-301,295,288,288,44114.72,27360.0,3529.18,1183.93,999.31,16754.72,Actual
206,202604,CH05,East,SKU-302,364,347,347,33039.35,19085.0,2643.15,705.61,529.27,13954.35,Actual
207,202604,CH05,East,SKU-303,260,241,241,48942.62,30125.0,3915.41,1586.64,534.2,18817.62,Actual
208,202604,CH05,East,SKU-401,297,267,267,85606.27,58740.0,6848.5,2266.19,1692.68,26866.27,Actual
209,202604,CH05,East,SKU-402,341,314,314,42270.84,26690.0,3381.67,1688.4,0,15580.84,Actual
210,202604,CH05,West,SKU-101,321,309,309,55586.15,37080.0,2779.31,1882.91,0,18506.15,Actual
211,202604,CH05,West,SKU-102,306,291,291,86644.37,52380.0,4332.22,2206.42,0,34264.37,Actual
212,202604,CH05,West,SKU-103,286,278,278,41719.89,26410.0,2085.99,1184.62,0,15309.89,Actual
213,202604,CH05,West,SKU-201,332,324,324,32269.49,21060.0,1613.47,909.57,899.74,11209.49,Actual
214,202604,CH05,West,SKU-202,308,293,293,59862.14,41020.0,2993.11,1638.46,0,18842.14,Actual
215,202604,CH05,West,SKU-203,351,321,321,47488.4,27285.0,2374.42,1774.76,0,20203.4,Actual
216,202604,CH05,West,SKU-301,343,329,329,53240.86,31255.0,2662.04,1731.63,0,21985.86,Actual
217,202604,CH05,West,SKU-302,297,281,281,26679.26,15455.0,1333.96,958.61,0,11224.26,Actual
218,202604,CH05,West,SKU-303,249,237,237,44068.84,29625.0,2203.44,1260.64,617.43,14443.84,Actual
219,202604,CH05,West,SKU-401,325,299,299,106865.62,65780.0,5343.28,3841.95,0,41085.62,Actual
220,202604,CH05,West,SKU-402,313,283,283,34963.61,24055.0,1748.18,973.73,0,10908.61,Actual
221,202604,CH06,North,SKU-101,323,308,308,56825.95,36960.0,3409.56,2114.06,0,19865.95,Actual
222,202604,CH06,North,SKU-102,343,311,311,89240.63,55980.0,5354.44,2216.82,2653.41,33260.63,Actual
223,202604,CH06,North,SKU-103,230,219,219,34025.47,20805.0,2041.53,1061.36,0,13220.47,Actual
224,202604,CH06,North,SKU-201,326,294,294,29719.64,19110.0,1783.18,641.1,0,10609.64,Actual
225,202604,CH06,North,SKU-202,318,303,303,68731.52,42420.0,4123.89,2475.14,962.45,26311.52,Actual
226,202604,CH06,North,SKU-203,302,288,288,40169.94,24480.0,2410.2,828.78,0,15689.94,Actual
227,202604,CH06,North,SKU-301,365,349,349,53458.75,33155.0,3207.53,2000.39,1298.07,20303.75,Actual
228,202604,CH06,North,SKU-302,344,311,311,28983.53,17105.0,1739.01,1098.37,0,11878.53,Actual
229,202604,CH06,North,SKU-303,252,239,239,47372.65,29875.0,2842.36,1446.19,0,17497.65,Actual
230,202604,CH06,North,SKU-401,339,311,311,100447.79,68420.0,6026.87,2329.47,0,32027.79,Actual
231,202604,CH06,North,SKU-402,352,326,326,48291.87,27710.0,2897.51,1141.73,0,20581.87,Actual
232,202604,CH06,South,SKU-101,343,323,323,61995.02,38760.0,3099.75,2131.64,903.21,23235.02,Actual
233,202604,CH06,South,SKU-102,334,302,302,89915.16,54360.0,4495.76,1853.43,0,35555.16,Actual
234,202604,CH06,South,SKU-103,238,228,228,37049.03,21660.0,1852.45,1291.31,0,15389.03,Actual
235,202604,CH06,South,SKU-201,321,314,314,31866.37,20410.0,1593.32,662.89,0,11456.37,Actual
236,202604,CH06,South,SKU-202,351,336,336,74397.74,47040.0,3719.89,2212.1,2043.59,27357.74,Actual
237,202604,CH06,South,SKU-203,356,337,337,43914.17,28645.0,2195.71,1679.6,0,15269.17,Actual
238,202604,CH06,South,SKU-301,305,292,292,45478.84,27740.0,2273.94,1029.25,0,17738.84,Actual
239,202604,CH06,South,SKU-302,338,310,310,25641.58,17050.0,1282.08,1010.99,0,8591.58,Actual
240,202604,CH06,South,SKU-303,233,214,214,42738.03,26750.0,2136.9,1599.04,808.01,15988.03,Actual
241,202604,CH06,South,SKU-401,326,297,297,106366.02,65340.0,5318.3,2959.28,0,41026.02,Actual
242,202604,CH06,South,SKU-402,334,304,304,43463.96,25840.0,2173.2,1712.32,829.11,17623.96,Actual
243,202604,CH06,East,SKU-101,308,290,290,52232.27,34800.0,4178.58,1396.69,1388.21,17432.27,Actual
244,202604,CH06,East,SKU-102,321,307,307,90358.03,55260.0,7228.64,2109.03,0,35098.03,Actual
245,202604,CH06,East,SKU-103,233,222,222,35239.72,21090.0,2819.18,1039.31,947.36,14149.72,Actual
246,202604,CH06,East,SKU-201,344,315,315,35022.11,20475.0,2801.77,778.84,0,14547.11,Actual
247,202604,CH06,East,SKU-202,310,302,302,68043.35,42280.0,5443.47,1414.41,0,25763.35,Actual
248,202604,CH06,East,SKU-203,297,274,274,40295.48,23290.0,3223.64,1214.7,0,17005.48,Actual
249,202604,CH06,East,SKU-301,273,266,266,44121.14,25270.0,3529.69,886.78,0,18851.14,Actual
250,202604,CH06,East,SKU-302,371,347,347,32642.52,19085.0,2611.4,989.46,0,13557.52,Actual
251,202604,CH06,East,SKU-303,249,224,224,41773.07,28000.0,3341.85,1092.72,0,13773.07,Actual
