InventoryKey,DateKey,Hub_ID,SKU_Code,Opening_Stock_Units,Closing_Stock_Units,Days_of_Cover,Stock_Level_Status
90,20260408,WH_CH_01,SKU-102,240,250,19.3,NORMAL
91,20260408,WH_CH_01,SKU-103,1124,1102,44.1,NORMAL
92,20260408,WH_CH_01,SKU-201,370,371,24.7,NORMAL
93,20260408,WH_CH_01,SKU-202,660,661,33.1,NORMAL
94,20260408,WH_CH_01,SKU-203,564,539,33.7,NORMAL
95,20260408,WH_CH_01,SKU-301,240,246,13.0,WARNING
96,20260408,WH_CH_01,SKU-302,560,574,31.9,NORMAL
97,20260408,WH_CH_01,SKU-303,394,395,39.5,NORMAL
98,20260408,WH_CH_01,SKU-401,541,559,17.5,NORMAL
99,20260408,WH_CH_01,SKU-402,705,688,30.0,NORMAL
100,20260408,WH_CH_01,SKU-101,864,862,37.5,NORMAL
101,20260408,WH_CH_01,SKU-102,524,544,30.3,NORMAL
102,20260408,WH_CH_01,SKU-103,369,385,20.3,NORMAL
103,20260408,WH_CH_01,SKU-201,329,317,21.2,NORMAL
104,20260408,WH_CH_01,SKU-202,309,301,18.8,NORMAL
105,20260408,WH_CH_01,SKU-203,157,150,15.0,NORMAL
106,20260408,WH_CH_01,SKU-301,351,364,17.3,NORMAL
107,20260408,WH_CH_01,SKU-302,365,361,25.8,NORMAL
108,20260408,WH_CH_01,SKU-303,296,302,16.8,NORMAL
109,20260408,WH_CH_01,SKU-401,692,669,30.5,NORMAL
110,20260408,WH_CH_01,SKU-402,137,140,10.0,WARNING
111,20260408,WH_CH_01,SKU-101,229,223,10.7,WARNING
112,20260408,WH_CH_01,SKU-102,1401,1394,41.0,NORMAL
113,20260408,WH_CH_01,SKU-103,1027,1075,37.1,NORMAL
114,20260408,WH_CH_01,SKU-201,530,547,21.1,NORMAL
115,20260408,WH_CH_01,SKU-202,514,517,20.7,NORMAL
116,20260408,WH_CH_01,SKU-203,270,260,10.4,WARNING
117,20260408,WH_CH_01,SKU-301,275,265,14.8,NORMAL
118,20260408,WH_CH_01,SKU-302,616,647,40.5,NORMAL
119,20260408,WH_CH_01,SKU-303,789,800,32.0,NORMAL
120,20260408,WH_CH_01,SKU-401,188,180,7.8,WARNING
121,20260408,WH_CH_01,SKU-402,556,573,38.3,NORMAL
122,20260408,WH_CH_01,SKU-101,551,543,20.9,NORMAL
123,20260408,WH_CH_01,SKU-102,615,627,34.9,NORMAL
124,20260408,WH_CH_01,SKU-103,600,601,37.6,NORMAL
125,20260408,WH_CH_01,SKU-201,522,527,26.4,NORMAL
126,20260408,WH_CH_01,SKU-202,721,695,33.1,NORMAL
127,20260408,WH_CH_01,SKU-203,700,708,39.3,NORMAL
128,20260408,WH_CH_01,SKU-301,825,821,35.7,NORMAL
129,20260408,WH_CH_01,SKU-302,541,569,33.5,NORMAL
130,20260408,WH_CH_01,SKU-303,346,338,15.4,NORMAL
131,20260408,WH_CH_01,SKU-401,430,423,24.9,NORMAL
132,20260408,WH_CH_01,SKU-402,590,617,22.1,NORMAL
133,20260408,WH_CH_01,SKU-101,797,812,33.9,NORMAL
134,20260408,WH_CH_01,SKU-102,1025,1071,42.9,NORMAL
135,20260408,WH_CH_01,SKU-103,567,596,29.8,NORMAL
136,20260408,WH_CH_01,SKU-201,559,560,16.5,NORMAL
137,20260408,WH_CH_01,SKU-202,435,438,21.9,NORMAL
138,20260408,WH_CH_01,SKU-203,864,835,41.8,NORMAL
139,20260408,WH_CH_01,SKU-301,753,783,41.2,NORMAL
140,20260408,WH_CH_01,SKU-302,227,221,13.8,WARNING
141,20260408,WH_CH_01,SKU-303,729,706,44.1,NORMAL
142,20260408,WH_CH_01,SKU-401,820,833,36.2,NORMAL
143,20260408,WH_CH_01,SKU-402,616,603,30.2,NORMAL
144,20260408,WH_CH_01,SKU-101,544,536,24.4,NORMAL
145,20260408,WH_CH_01,SKU-102,197,199,11.7,WARNING
146,20260408,WH_CH_01,SKU-103,156,150,7.5,WARNING
147,20260408,WH_CH_01,SKU-201,146,152,8.5,WARNING
148,20260408,WH_CH_01,SKU-202,633,666,39.2,NORMAL
149,20260408,WH_CH_01,SKU-203,865,842,38.3,NORMAL
150,20260408,WH_CH_01,SKU-301,600,622,31.1,NORMAL
151,20260408,WH_CH_01,SKU-302,696,670,44.7,NORMAL
152,20260408,WH_CH_01,SKU-303,947,943,44.9,NORMAL
153,20260408,WH_CH_01,SKU-401,289,302,15.9,NORMAL
154,20260408,WH_CH_01,SKU-402,461,465,21.2,NORMAL
155,20260408,WH_CH_01,SKU-101,194,192,12.0,WARNING
156,20260408,WH_CH_01,SKU-102,379,375,16.3,NORMAL
157,20260408,WH_CH_01,SKU-103,445,448,22.4,NORMAL
158,20260408,WH_CH_01,SKU-201,308,314,13.7,WARNING
159,20260408,WH_CH_01,SKU-202,340,340,20.0,NORMAL
160,20260408,WH_CH_01,SKU-203,1005,968,38.7,NORMAL
161,20260408,WH_CH_01,SKU-301,181,174,9.2,WARNING
162,20260408,WH_CH_01,SKU-302,330,337,17.7,NORMAL
163,20260408,WH_CH_01,SKU-303,758,737,36.9,NORMAL
164,20260408,WH_CH_01,SKU-401,283,271,14.3,NORMAL
165,20260408,WH_CH_01,SKU-402,724,757,44.6,NORMAL
166,20260408,WH_CH_01,SKU-101,590,572,22.9,NORMAL
167,20260408,WH_CH_01,SKU-102,572,561,43.2,NORMAL
168,20260408,WH_CH_01,SKU-103,278,282,25.7,NORMAL
169,20260408,WH_CH_01,SKU-201,145,143,7.6,WARNING
170,20260408,WH_CH_01,SKU-202,238,237,12.5,WARNING
171,20260408,WH_CH_01,SKU-203,605,582,26.5,NORMAL
172,20260408,WH_CH_01,SKU-301,622,617,30.9,NORMAL
173,20260408,WH_CH_01,SKU-302,250,252,16.9,NORMAL
174,20260408,WH_CH_01,SKU-303,564,544,30.3,NORMAL
175,20260408,WH_CH_01,SKU-401,507,492,24.6,NORMAL
176,20260408,WH_CH_01,SKU-402,288,292,19.5,NORMAL
177,20260415,WH_CH_01,SKU-101,286,281,16.5,NORMAL
178,20260415,WH_CH_01,SKU-102,494,492,27.4,NORMAL
179,20260415,WH_CH_01,SKU-103,125,126,7.9,WARNING
180,20260415,WH_CH_01,SKU-201,341,351,16.7,NORMAL
181,20260415,WH_CH_01,SKU-202,522,530,44.2,NORMAL
182,20260415,WH_CH_01,SKU-203,628,601,31.6,NORMAL
183,20260415,WH_CH_01,SKU-301,948,913,30.4,NORMAL
184,20260415,WH_CH_01,SKU-302,566,573,44.1,NORMAL
185,20260415,WH_CH_01,SKU-303,801,768,33.4,NORMAL
186,20260415,WH_CH_01,SKU-401,150,145,8.1,WARNING
187,20260415,WH_CH_01,SKU-402,214,208,9.1,WARNING
188,20260415,WH_CH_01,SKU-101,473,461,18.5,NORMAL
189,20260415,WH_CH_01,SKU-102,550,527,26.4,NORMAL
190,20260415,WH_CH_01,SKU-103,380,368,19.4,NORMAL
191,20260415,WH_CH_01,SKU-201,532,553,27.7,NORMAL
192,20260415,WH_CH_01,SKU-202,840,806,38.4,NORMAL
193,20260415,WH_CH_01,SKU-203,177,186,9.8,WARNING
194,20260415,WH_CH_01,SKU-301,205,210,15.0,NORMAL
195,20260415,WH_CH_01,SKU-302,613,619,28.2,NORMAL
196,20260415,WH_CH_01,SKU-303,228,239,16.0,NORMAL
197,20260415,WH_CH_01,SKU-401,433,438,19.9,NORMAL
198,20260415,WH_CH_01,SKU-402,288,288,11.5,WARNING
199,20260415,WH_CH_01,SKU-101,716,750,34.1,NORMAL
200,20260415,WH_CH_01,SKU-102,706,681,35.8,NORMAL
201,20260415,WH_CH_01,SKU-103,270,282,16.6,NORMAL
202,20260415,WH_CH_01,SKU-201,739,747,44.0,NORMAL
203,20260415,WH_CH_01,SKU-202,210,217,13.6,WARNING
204,20260415,WH_CH_01,SKU-203,1079,1077,44.9,NORMAL
205,20260415,WH_CH_01,SKU-301,695,697,33.2,NORMAL
206,20260415,WH_CH_01,SKU-302,743,759,42.2,NORMAL
207,20260415,WH_CH_01,SKU-303,188,195,10.3,WARNING
208,20260415,WH_CH_01,SKU-401,345,336,22.5,NORMAL
209,20260415,WH_CH_01,SKU-402,667,652,28.4,NORMAL
210,20260415,WH_CH_01,SKU-101,737,772,35.1,NORMAL
211,20260415,WH_CH_01,SKU-102,642,660,28.7,NORMAL
212,20260415,WH_CH_01,SKU-103,808,785,31.4,NORMAL
213,20260415,WH_CH_01,SKU-201,900,924,42.0,NORMAL
214,20260415,WH_CH_01,SKU-202,565,568,35.5,NORMAL
215,20260415,WH_CH_01,SKU-203,685,664,30.2,NORMAL
216,20260415,WH_CH_01,SKU-301,550,553,36.9,NORMAL
217,20260415,WH_CH_01,SKU-302,622,633,37.3,NORMAL
218,20260415,WH_CH_01,SKU-303,476,467,26.0,NORMAL
219,20260415,WH_CH_01,SKU-401,789,772,32.2,NORMAL
220,20260415,WH_CH_01,SKU-402,708,696,41.0,NORMAL
221,20260415,WH_CH_01,SKU-101,842,837,38.1,NORMAL
222,20260415,WH_CH_01,SKU-102,146,143,8.4,WARNING
223,20260415,WH_CH_01,SKU-103,503,494,38.1,NORMAL
224,20260415,WH_CH_01,SKU-201,685,705,44.1,NORMAL
225,20260415,WH_CH_01,SKU-202,787,760,36.2,NORMAL
226,20260415,WH_CH_01,SKU-203,489,501,27.9,NORMAL
227,20260415,WH_CH_01,SKU-301,224,218,12.9,WARNING
228,20260415,WH_CH_01,SKU-302,230,240,20.0,NORMAL
229,20260415,WH_CH_01,SKU-303,719,688,34.4,NORMAL
230,20260415,WH_CH_01,SKU-401,1009,1021,42.5,NORMAL
231,20260415,WH_CH_01,SKU-402,366,353,17.7,NORMAL
232,20260415,WH_CH_01,SKU-101,298,290,16.1,NORMAL
233,20260415,WH_CH_01,SKU-102,805,789,32.9,NORMAL
234,20260415,WH_CH_01,SKU-103,579,605,28.8,NORMAL
235,20260415,WH_CH_01,SKU-201,538,520,23.7,NORMAL
236,20260415,WH_CH_01,SKU-202,255,244,17.5,NORMAL
237,20260415,WH_CH_01,SKU-203,196,195,11.5,WARNING
238,20260415,WH_CH_01,SKU-301,707,684,32.6,NORMAL
239,20260415,WH_CH_01,SKU-302,279,286,19.1,NORMAL
240,20260415,WH_CH_01,SKU-303,522,517,19.9,NORMAL
241,20260415,WH_CH_01,SKU-401,424,428,26.8,NORMAL
242,20260415,WH_CH_01,SKU-402,469,455,26.8,NORMAL
243,20260415,WH_CH_01,SKU-101,770,744,29.8,NORMAL
244,20260415,WH_CH_01,SKU-102,761,784,41.3,NORMAL
245,20260415,WH_CH_01,SKU-103,254,245,14.5,NORMAL
246,20260415,WH_CH_01,SKU-201,832,827,29.6,NORMAL
247,20260415,WH_CH_01,SKU-202,747,773,43.0,NORMAL
248,20260415,WH_CH_01,SKU-203,286,291,20.8,NORMAL
249,20260415,WH_CH_01,SKU-301,672,680,35.8,NORMAL
250,20260415,WH_CH_01,SKU-302,688,707,39.3,NORMAL
251,20260415,WH_CH_01,SKU-303,167,170,10.0,WARNING
252,20260415,WH_CH_01,SKU-401,260,262,13.8,WARNING
253,20260415,WH_CH_01,SKU-402,577,563,15.2,NORMAL
254,20260415,WH_CH_01,SKU-101,289,296,14.8,NORMAL
255,20260415,WH_CH_01,SKU-102,796,829,43.6,NORMAL
256,20260415,WH_CH_01,SKU-103,599,617,32.5,NORMAL
257,20260415,WH_CH_01,SKU-201,564,562,31.2,NORMAL
258,20260415,WH_CH_01,SKU-202,514,518,25.9,NORMAL
259,20260415,WH_CH_01,SKU-203,633,620,31.0,NORMAL
260,20260415,WH_CH_01,SKU-301,579,608,29.0,NORMAL
261,20260415,WH_CH_01,SKU-302,207,202,10.7,WARNING
262,20260415,WH_CH_01,SKU-303,320,329,17.4,NORMAL
263,20260415,WH_CH_01,SKU-401,604,607,38.0,NORMAL
264,20260415,WH_CH_01,SKU-402,302,315,22.5,NORMAL
265,20260422,WH_CH_01,SKU-101,692,685,40.3,NORMAL
266,20260422,WH_CH_01,SKU-102,758,744,29.8,NORMAL
267,20260422,WH_CH_01,SKU-103,539,528,19.6,NORMAL
268,20260422,WH_CH_01,SKU-201,264,253,11.5,WARNING
269,20260422,WH_CH_01,SKU-202,775,807,42.5,NORMAL
270,20260422,WH_CH_01,SKU-203,233,237,10.3,WARNING
271,20260422,WH_CH_01,SKU-301,333,351,25.1,NORMAL
272,20260422,WH_CH_01,SKU-302,232,221,13.0,WARNING
273,20260422,WH_CH_01,SKU-303,690,681,40.1,NORMAL
274,20260422,WH_CH_01,SKU-401,620,638,35.5,NORMAL
275,20260422,WH_CH_01,SKU-402,894,878,43.9,NORMAL
276,20260422,WH_CH_01,SKU-101,375,384,29.6,NORMAL
277,20260422,WH_CH_01,SKU-102,770,755,24.4,NORMAL
278,20260422,WH_CH_01,SKU-103,199,198,9.9,WARNING
279,20260422,WH_CH_01,SKU-201,537,558,21.5,NORMAL
280,20260422,WH_CH_01,SKU-202,406,406,22.6,NORMAL
281,20260422,WH_CH_01,SKU-203,658,678,27.2,NORMAL
282,20260422,WH_CH_01,SKU-301,145,144,8.0,WARNING
283,20260422,WH_CH_01,SKU-302,214,210,12.4,WARNING
284,20260422,WH_CH_01,SKU-303,220,217,8.0,WARNING
285,20260422,WH_CH_01,SKU-401,246,244,11.7,WARNING
286,20260422,WH_CH_01,SKU-402,128,129,8.6,WARNING
287,20260422,WH_CH_01,SKU-101,447,429,21.5,NORMAL
288,20260422,WH_CH_01,SKU-102,579,566,35.4,NORMAL
289,20260422,WH_CH_01,SKU-103,713,716,26.6,NORMAL
290,20260422,WH_CH_01,SKU-201,1040,1080,38.6,NORMAL
291,20260422,WH_CH_01,SKU-202,180,189,7.9,WARNING
292,20260422,WH_CH_01,SKU-203,899,879,40.0,NORMAL
293,20260422,WH_CH_01,SKU-301,478,461,30.7,NORMAL
294,20260422,WH_CH_01,SKU-302,692,698,36.8,NORMAL
295,20260422,WH_CH_01,SKU-303,169,163,8.2,WARNING
296,20260422,WH_CH_01,SKU-401,1027,1062,44.3,NORMAL
297,20260422,WH_CH_01,SKU-402,966,971,36.0,NORMAL
298,20260422,WH_CH_01,SKU-101,380,396,17.2,NORMAL
299,20260422,WH_CH_01,SKU-102,895,868,33.4,NORMAL
300,20260422,WH_CH_01,SKU-103,1071,1105,40.9,NORMAL
301,20260422,WH_CH_01,SKU-201,163,168,7.3,WARNING
302,20260422,WH_CH_01,SKU-202,826,838,41.9,NORMAL
303,20260422,WH_CH_01,SKU-203,1295,1265,43.6,NORMAL
304,20260422,WH_CH_01,SKU-301,704,731,29.3,NORMAL
305,20260422,WH_CH_01,SKU-302,560,588,34.6,NORMAL
306,20260422,WH_CH_01,SKU-303,199,199,10.0,WARNING
307,20260422,WH_CH_01,SKU-401,831,825,35.9,NORMAL
308,20260422,WH_CH_01,SKU-402,926,966,38.7,NORMAL
309,20260422,WH_CH_01,SKU-101,780,765,40.3,NORMAL
310,20260422,WH_CH_01,SKU-102,86,90,18.1,NORMAL
311,20260422,WH_CH_01,SKU-103,983,941,42.8,NORMAL
312,20260422,WH_CH_01,SKU-201,454,454,20.6,NORMAL
313,20260422,WH_CH_01,SKU-202,903,870,43.5,NORMAL
314,20260422,WH_CH_01,SKU-203,518,502,38.7,NORMAL
315,20260422,WH_CH_01,SKU-301,551,553,32.5,NORMAL
316,20260422,WH_CH_01,SKU-302,506,524,32.8,NORMAL
317,20260422,WH_CH_01,SKU-303,910,936,40.7,NORMAL
318,20260422,WH_CH_01,SKU-401,479,481,22.9,NORMAL
319,20260422,WH_CH_01,SKU-402,647,673,25.9,NORMAL
320,20260422,WH_CH_01,SKU-101,1033,1083,32.8,NORMAL
321,20260422,WH_CH_01,SKU-102,256,255,10.6,WARNING
322,20260422,WH_CH_01,SKU-103,555,544,32.0,NORMAL
323,20260422,WH_CH_01,SKU-201,524,550,29.0,NORMAL
324,20260422,WH_CH_01,SKU-202,323,337,13.5,WARNING
325,20260422,WH_CH_01,SKU-203,108,109,9.1,WARNING
326,20260422,WH_CH_01,SKU-301,497,512,32.0,NORMAL
327,20260422,WH_CH_01,SKU-302,412,406,23.9,NORMAL
328,20260422,WH_CH_01,SKU-303,309,302,15.1,NORMAL
329,20260422,WH_CH_01,SKU-401,327,322,23.0,NORMAL
330,20260422,WH_CH_01,SKU-402,568,567,37.8,NORMAL
331,20260422,WH_CH_01,SKU-101,593,567,29.9,NORMAL
332,20260422,WH_CH_01,SKU-102,597,580,27.6,NORMAL
333,20260422,WH_CH_01,SKU-103,932,922,43.9,NORMAL
334,20260422,WH_CH_01,SKU-201,548,577,32.1,NORMAL
335,20260422,WH_CH_01,SKU-202,506,493,26.0,NORMAL
336,20260422,WH_CH_01,SKU-203,397,396,23.3,NORMAL
337,20260422,WH_CH_01,SKU-301,577,585,32.5,NORMAL
338,20260422,WH_CH_01,SKU-302,780,790,35.9,NORMAL
339,20260422,WH_CH_01,SKU-303,872,841,40.1,NORMAL
340,20260422,WH_CH_01,SKU-401,236,240,13.4,WARNING
341,20260422,WH_CH_01,SKU-402,417,411,19.6,NORMAL
342,20260422,WH_CH_01,SKU-101,380,377,13.0,WARNING
343,20260422,WH_CH_01,SKU-102,402,406,20.3,NORMAL
344,20260422,WH_CH_01,SKU-103,686,720,34.3,NORMAL
345,20260422,WH_CH_01,SKU-201,404,398,19.0,NORMAL
346,20260422,WH_CH_01,SKU-202,512,505,33.7,NORMAL
347,20260422,WH_CH_01,SKU-203,158,163,12.6,WARNING
348,20260422,WH_CH_01,SKU-301,821,850,44.8,NORMAL
349,20260422,WH_CH_01,SKU-302,140,139,9.3,WARNING
350,20260422,WH_CH_01,SKU-303,746,783,37.3,NORMAL
351,20260422,WH_CH_01,SKU-401,734,767,32.0,NORMAL
352,20260422,WH_CH_01,SKU-402,282,282,17.7,NORMAL
353,20260429,WH_CH_01,SKU-101,976,1021,37.8,NORMAL
354,20260429,WH_CH_01,SKU-102,605,626,44.8,NORMAL
355,20260429,WH_CH_01,SKU-103,650,658,36.6,NORMAL
356,20260429,WH_CH_01,SKU-201,559,544,36.3,NORMAL
357,20260429,WH_CH_01,SKU-202,640,671,42.0,NORMAL
358,20260429,WH_CH_01,SKU-203,929,893,38.8,NORMAL
359,20260429,WH_CH_01,SKU-301,420,429,25.3,NORMAL
360,20260429,WH_CH_01,SKU-302,279,284,15.0,NORMAL
361,20260429,WH_CH_01,SKU-303,472,465,19.4,NORMAL
362,20260429,WH_CH_01,SKU-401,366,386,16.1,NORMAL
363,20260429,WH_CH_01,SKU-402,769,804,33.5,NORMAL
364,20260429,WH_CH_01,SKU-101,443,457,21.8,NORMAL
365,20260429,WH_CH_01,SKU-102,186,185,8.9,WARNING
366,20260429,WH_CH_01,SKU-103,706,697,31.7,NORMAL
367,20260429,WH_CH_01,SKU-201,406,427,30.5,NORMAL
368,20260429,WH_CH_01,SKU-202,356,353,16.1,NORMAL
369,20260429,WH_CH_01,SKU-203,511,491,24.6,NORMAL
370,20260429,WH_CH_01,SKU-301,151,158,8.3,WARNING
371,20260429,WH_CH_01,SKU-302,615,637,35.4,NORMAL
372,20260429,WH_CH_01,SKU-303,315,313,19.6,NORMAL
373,20260429,WH_CH_01,SKU-401,743,716,39.8,NORMAL
374,20260429,WH_CH_01,SKU-402,607,591,28.2,NORMAL
375,20260429,WH_CH_01,SKU-101,813,793,37.8,NORMAL
376,20260429,WH_CH_01,SKU-102,424,433,17.3,NORMAL
377,20260429,WH_CH_01,SKU-103,418,432,21.6,NORMAL
378,20260429,WH_CH_01,SKU-201,638,671,39.5,NORMAL
379,20260429,WH_CH_01,SKU-202,219,215,10.2,WARNING
380,20260429,WH_CH_01,SKU-203,595,575,25.0,NORMAL
381,20260429,WH_CH_01,SKU-301,186,181,12.1,WARNING
382,20260429,WH_CH_01,SKU-302,469,490,30.7,NORMAL
383,20260429,WH_CH_01,SKU-303,64,63,7.0,WARNING
384,20260429,WH_CH_01,SKU-401,342,332,15.9,NORMAL
385,20260429,WH_CH_01,SKU-402,471,484,24.2,NORMAL
386,20260429,WH_CH_01,SKU-101,265,273,19.5,NORMAL
387,20260429,WH_CH_01,SKU-102,400,407,14.6,NORMAL
388,20260429,WH_CH_01,SKU-103,721,707,29.5,NORMAL
389,20260429,WH_CH_01,SKU-201,778,744,33.9,NORMAL
390,20260429,WH_CH_01,SKU-202,137,140,7.8,WARNING
391,20260429,WH_CH_01,SKU-203,778,751,34.2,NORMAL
392,20260429,WH_CH_01,SKU-301,891,871,39.6,NORMAL
393,20260429,WH_CH_01,SKU-302,470,454,25.2,NORMAL
394,20260429,WH_CH_01,SKU-303,606,637,39.9,NORMAL
395,20260429,WH_CH_01,SKU-401,683,710,26.3,NORMAL
396,20260429,WH_CH_01,SKU-402,1157,1137,42.1,NORMAL
397,20260429,WH_CH_01,SKU-101,386,382,25.5,NORMAL
398,20260429,WH_CH_01,SKU-102,987,944,33.7,NORMAL
399,20260429,WH_CH_01,SKU-103,351,344,23.0,NORMAL
400,20260429,WH_CH_01,SKU-201,142,136,8.0,WARNING
401,20260429,WH_CH_01,SKU-202,1135,1124,45.0,NORMAL
402,20260429,WH_CH_01,SKU-203,553,544,21.8,NORMAL
403,20260429,WH_CH_01,SKU-301,300,309,23.8,NORMAL
404,20260429,WH_CH_01,SKU-302,472,465,27.4,NORMAL
405,20260429,WH_CH_01,SKU-303,190,193,8.4,WARNING
406,20260429,WH_CH_01,SKU-401,443,463,22.1,NORMAL
407,20260429,WH_CH_01,SKU-402,320,323,14.1,NORMAL
408,20260429,WH_CH_01,SKU-101,476,467,24.6,NORMAL
