Distributor,Brand,Chain (canonical),"NSV (secondary, Jun26)",Distributor+Brand Total NSV (Jun26),Cont%,Source,Computed
Az Enterprises,The Derma Co,Health & Glow,14.92,53.4,27.9401,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Az Enterprises,The Derma Co,Lulu,9.69,53.4,18.1461,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Az Enterprises,The Derma Co,More Retail,4.29,53.4,8.0337,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Az Enterprises,The Derma Co,Trilife,0.09,53.4,0.1685,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
BALAJI ASSOCIATES Distributor MT,Mamaearth,Reliance Retail,6.99,12.7,55.0394,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
BALAJI ASSOCIATES Distributor MT,Mamaearth,Vishal Mega Mart,5.71,12.7,44.9606,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
BALAJI ASSOCIATES Distributor MT,The Derma Co,Reliance Retail,5.11,5.11,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
CHHABRA TRADERS_Ship To,Aqualogica,Lulu,0.07,0.07,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
CHHABRA TRADERS_Ship To,Mamaearth,Vishal Mega Mart,4.4,4.4,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
CHHABRA TRADERS_Ship To,The Derma Co,Lulu,20.06,20.06,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
CHOUDHARY ENTERPRISES-MT-MP,Mamaearth,Vishal Mega Mart,0.73,0.73,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Chhabra Traders,Mamaearth,D-Mart,1.05,10.22,10.274,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Chhabra Traders,Mamaearth,Deal Share,0.72,10.22,7.045,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Chhabra Traders,Mamaearth,Lulu,6.54,10.22,63.9922,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Chhabra Traders,Mamaearth,Medanta,0.54,10.22,5.2838,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Chhabra Traders,Mamaearth,Spencers,1.37,10.22,13.4051,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Chhabra Traders,The Derma Co,D-Mart,4.03,4.03,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Aqualogica,Frank Ross,0.05,0.25,20.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Aqualogica,More Retail,0.2,0.25,80.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,Apollo,5.13,24.6,20.8537,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,Arambagh,3.0,24.6,12.1951,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,Frank Ross,1.34,24.6,5.4472,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,More Retail,3.49,24.6,14.187,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,SastaSundar,0.91,24.6,3.6992,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,Spencers,7.81,24.6,31.748,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,Sumo Save,1.06,24.6,4.3089,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,Mamaearth,Vishal Mega Mart,1.86,24.6,7.561,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,The Derma Co,Apollo,2.88,6.69,43.0493,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,The Derma Co,Arambagh,0.36,6.69,5.3812,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,The Derma Co,Frank Ross,1.57,6.69,23.4679,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,The Derma Co,More Retail,1.41,6.69,21.0762,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
D.L. Sales - MT,The Derma Co,Spencers,0.47,6.69,7.0254,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,Aqualogica,Lulu,3.52,3.52,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,Mamaearth,Apollo,6.7,152.33,4.3983,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,Mamaearth,D-Mart,129.87,152.33,85.2557,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,Mamaearth,Lulu,15.76,152.33,10.346,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,The Derma Co,Apollo,6.6,60.81,10.8535,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,The Derma Co,D-Mart,43.44,60.81,71.4356,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
G.V Enterprises,The Derma Co,Lulu,10.77,60.81,17.7109,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
JUST MARK-Dmart_ship to,Mamaearth,D-Mart,180.92,180.92,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
JUST MARK-Dmart_ship to,The Derma Co,D-Mart,38.87,38.87,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Kiran Trading Co_Shipto (Solapur),Mamaearth,D-Mart,56.14,56.14,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Kiran Trading Co_Shipto (Solapur),The Derma Co,D-Mart,12.53,12.53,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
M/S KOTTARAM BUSINESS CORPORATION-MT,Aqualogica,Lulu,7.26,7.26,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
M/S KOTTARAM BUSINESS CORPORATION-MT,Mamaearth,Lulu,61.24,61.24,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
M/S KOTTARAM BUSINESS CORPORATION-MT,The Derma Co,Lulu,32.57,32.57,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
MANOJ SOAP AGENCY-MT,Mamaearth,Vishal Mega Mart,1.48,1.48,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
MARK ENTERPRISE,Mamaearth,Apollo,6.28,6.28,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
MARK ENTERPRISE,The Derma Co,Apollo,3.54,3.54,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
PRAGATI SALES-D-MART,Mamaearth,Apollo,0.37,14.3,2.5874,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
PRAGATI SALES-D-MART,Mamaearth,D-Mart,13.93,14.3,97.4126,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
PRAGATI SALES-D-MART,The Derma Co,D-Mart,0.87,0.87,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
REAL TIME LOGISTICS_MT_BR,Mamaearth,Vishal Mega Mart,7.34,7.34,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
RR Traders-MT,Mamaearth,Vishal Mega Mart,5.78,5.78,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sancus Networks Private Limited-RMT,Aqualogica,RMT-Sancus,1.05,1.05,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sancus Networks Private Limited-RMT,Mamaearth,More Retail,4.48,24.77,18.0864,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sancus Networks Private Limited-RMT,Mamaearth,RMT-Sancus,16.99,24.77,68.591,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sancus Networks Private Limited-RMT,Mamaearth,Vishal Mega Mart,3.3,24.77,13.3226,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sancus Networks Private Limited-RMT,The Derma Co,RMT-Sancus,10.07,10.07,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sehaj Enterprises -MT-JK,Mamaearth,Vishal Mega Mart,1.68,1.68,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Aqualogica,Health & Glow,0.01,0.1,10.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Aqualogica,Reliance Retail,0.09,0.1,90.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,BBlunt,Health & Glow,0.15,0.15,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Mamaearth,Apollo,42.17,229.26,18.394,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Mamaearth,D-Mart,133.88,229.26,58.3966,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Mamaearth,Health & Glow,0.57,229.26,0.2486,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Mamaearth,More Retail,3.07,229.26,1.3391,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,Mamaearth,Reliance Retail,49.57,229.26,21.6217,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
