Ship To Name,Brand,Month,Rows in group,Chains in group,Row NSVs (Lakh),Issue
S M AGENCIES_MT,BBlunt,Nov'24,1,B&N,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
SC BUSINESS COMBINE_MT,Aqualogica,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
SC BUSINESS COMBINE_MT,The Derma Co,July'24,1,Reliance Retail,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sancus Networks Private Limited-RMT,BBlunt,June'24,1,RMT-Sancus,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sancus Networks Private Limited-RMT,BBlunt,March'25,1,RMT-Sancus,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sancus Networks Private Limited-RMT,BBlunt,Sept'24,1,RMT-Sancus,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Lalitha Enterprises,BBlunt,March'25,1,B&N,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,Aqualogica,Nov'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,Aqualogica,Oct'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,Aqualogica,Sept'24,2,"H&G, Reliance Retail","0.0, 0.0",Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,BBlunt,Aug'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,BBlunt,July'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,BBlunt,Nov'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,BBlunt,Oct'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,BBlunt,Sept'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
Sri Vijaya Durga Agencies_Mt,The Derma Co,July'24,1,H&G,0.0,Zero/offsetting group total -- Cont% left blank (not fabricated)
