Customer Code,Customer Name / Ship-to Name,State,Zone,City / Location,Business Region / Sub-region,Chain Name,Account,Channel,Mapping Source,Validation Status,Remarks
1102893,TCE7-SMT AS Dibrugarh Mankata lane,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1102999,FRGE-SBZ NG Dimapur NAGI HOUSE,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103031,BALAJI ASSOCIATES Distributor MT,Assam,East,Northeast-Assam,Northeast-Assam,Balaji Associates Distributor MT,Balaji Associates Distributor MT,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103046,AAYUSH PHARMA-Ascent-GUWAHATI,Assam,East,Northeast-Assam,Northeast-Assam,Ascent Wellness,Ascent Wellness,EB2B,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103112,H&B STORES LIMITED-AS,Assam,East,Northeast-Assam,Northeast-Assam,H&B STORES LIMITED-finance use,H&B STORES LIMITED-finance use,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103302,Reliance Retail-Store-Assam,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103444,TA5L-Tezpur-Tezpur-AS,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103802,Shoppers Stop Ltd-Guwahati City Center-Guwahati,Assam,East,Northeast-Assam,Northeast-Assam,Shoppers Stop Ltd,Shoppers Stop Ltd,SIS,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103807,Shoppers Stop Ltd-Shillong-8524-Shillong,Assam,East,Northeast-Assam,Northeast-Assam,Shoppers Stop Ltd,Shoppers Stop Ltd,SIS,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1103992,Nykaa E-Retail Limited.-AS EB2B,Assam,East,Northeast-Assam,Northeast-Assam,Nykaa E-Retail Limited,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104546,TR86-SMT SK Gangtok Vajra World-Sikkim,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104646,V-Mart -AR,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104649,V-Mart -TR,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104690,S4ZK -RRL VFDC GUWAHATI BTS,Assam,East,Northeast-Assam,Northeast-Assam,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104717,V-Mart -209-NALBARI-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104718,V-Mart -478-BARPETA-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104719,V-Mart -453-DHARMANAGAR-TR,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104720,V-Mart -629-UDAIPUR-TR,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104729,Apollo Healthco Limited-Assam,Assam,East,Northeast-Assam,Northeast-Assam,Apollo Healthco,Apollo Healthco,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104740,V-Mart -AR-1,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104833,V-Mart -TR-2,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104835,V-Mart -Sualkuchi-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104836,V-Mart -Marigaon-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104837,V-Mart -Sonitpur-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104838,V-Mart -Sivasagar-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104839,V-Mart -Kamrup-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104840,V-Mart -Golaghat-AS,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104848,V-Mart -Belonia,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104849,V-Mart -Tripura,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1104850,V-Mart -Tura-ML,Assam,East,Northeast-Assam,Northeast-Assam,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,State 'Assam' split by business region: Northeast-Assam
1101500,FRIA-PATNA (SF-FOOD),Bihar,East,Bihar,,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,
1101552,FRHX-Patna,Bihar,East,Bihar,,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,
1101879,Vaibhav Laxmi Drugs-Bihar,Bihar,East,Bihar,,Vaibhav Laxmi Drugs,Vaibhav Laxmi Drugs,EB2B,Customer Code,Confirmed,
1101958,Fsn Distribution_Mauja,Bihar,East,Bihar,,Fsn Distribution,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,
1102065,Octopolis Technologies-Bihar,Bihar,East,Bihar,,Octopolis Technologies,Octopolis Technologies,MT,Customer Code,Confirmed,
1102154,Sanya Pharma -Mt,Bihar,East,Bihar,,Sanya Pharma,Sanya Pharma,MT,Customer Code,Confirmed,Source Status=Inactive
1102195,Octopolis Technologies-Bihar,Bihar,East,Bihar,,Octopolis Technologies,Octopolis Technologies,MT,Customer Code,Confirmed,
1102196,Octopolis Technologies-Bihar,Bihar,East,Bihar,,Octopolis Technologies,Octopolis Technologies,MT,Customer Code,Confirmed,
1102197,Octopolis Technologies-Bihar,Bihar,East,Bihar,,Octopolis Technologies,Octopolis Technologies,MT,Customer Code,Confirmed,
1102198,Octopolis Technologies-Bihar,Bihar,East,Bihar,,Octopolis Technologies,Octopolis Technologies,MT,Customer Code,Confirmed,
1102421,SLET-RRL VF BR Patna Grocery DC,Bihar,East,Bihar,,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,
1102444,FRHT-SBZ BH Patna PNM MALL-LOYALA SCHOOL,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102470,FRFP-SBZ BH PATNA BAILEY ROAD-KHAJEPURA,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102471,FRGS-SBZ BH PATNA K P MALL,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102508,TZL5-SMT BH Chhapra P&M MALL,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102805,T2OH-STORE Darbhanga-Bihar,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102806,T2OF-STORE Bettiah-Bihar,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102808,T2NI-STORE SIWAN-Bihar,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102809,T2NH-STORE Samastipur-Bihar,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102810,T2KE-STORE Patna Mauza Mirchak-BR,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102813,T2MS-STORE GAYA-Bihar,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102816,T2NF-STORE Katihar-Bihar,Bihar,East,Bihar,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102997,FRFU-SBZ BH Gaya KAZMI OASIS,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102998,FRFV-SBZ BH Muzaffarpur GIRJANANDAN COM,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103051,DCA Patna-Ascent-Patna,Bihar,East,Bihar,,Ascent Wellness,Ascent Wellness,EB2B,Customer Code,Confirmed,
1103835,Shoppers Stop Ltd-City Mall-8514-PATNA,Bihar,East,Bihar,,Shoppers Stop Ltd,Shoppers Stop Ltd,SIS,Customer Code,Confirmed,
1103986,Nykaa E-Retail Limited.-BR EB2B,Bihar,East,Bihar,,Nykaa E-Retail Limited,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,
1104275,FRGU-SMART BAZAAR-JHA COMPLEX-Darbhanga,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104314,TA5I-Bhagalpur-Bhagalpur-Bihar,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104541,T1NE-Smart Motihari-Bihar,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104542,T2DO-SMT BH GAYA CIVIL LINES-Bihar,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104543,TA7A-Smart Siwan-Bihar,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104544,T2EA-SMT BH PATNA GOLA ROAD-Bihar,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104545,T60M-Smart Sipara Patna-Bihar,Bihar,East,Bihar,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104688,REAL TIME LOGISTICS_MT_BR,Bihar,East,Bihar,,REAL TIME LOGISTICS_MT_BR,REAL TIME LOGISTICS_MT_BR,MT,Customer Code,Confirmed,
1100619,CE08-Ranchi,Jharkhand,East,Jharkhand,,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,
1101175,"Sandhya Tower, Purlia Road",Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1101499,S879-EGROCERY FC SUKHDEVO RANCHI DC,Jharkhand,East,Jharkhand,,Reliance Retail-Jio-CNC,Reliance Retail,MT,Customer Code,Confirmed,
1101515,FRAO-Ranchi,Jharkhand,East,Jharkhand,,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,
1101656,JB Pharma_MT,Jharkhand,East,Jharkhand,,JB Pharma,JB Pharma,MT,Customer Code,Confirmed,Source Status=Inactive
1101909,PRIYA ENTERPRISES-Ranchi,Jharkhand,East,Jharkhand,,PRIYA ENTERPRISES,PRIYA ENTERPRISES,EB2B,Customer Code,Confirmed,
1102443,TIU6 SMT JH Dumka,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102462,2956-SMT JH RANCHI SANDHYA TOWER,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102463,6206-SMT JH RANCHI MARU TOWER,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102464,FRAR-SBZ JH RANCHI J C TOWER,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102466,FRAU-SBZ JH JAMSHEDPUR P & M MALL,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102622,T2SG -STORE RANCHI -JH,Jharkhand,East,Jharkhand,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102814,T2NB-STORE Dhanbad-Jharkhand,Jharkhand,East,Jharkhand,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102815,T2ND-STORE Jamshedpur Chandil-JH,Jharkhand,East,Jharkhand,,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,
1102887,TK48-SMT JH Dhanbad City Centre Mall,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102957,FRAT-Bokaro-JH,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102961,FRAQ-Ranchi-JH,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1102995,2302-SMT JH Jamshedpur Seagull Apartment,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103177,"TD04-SMT JH Ranchi Shelter Mall,",Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103445,TKX4-Godda-Godda-JH,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103446,TW33- Centre Point -Giridh-JH,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103447,TIU3-Daltonganj-Daltonganj-JH,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103508,FRAY-SUBHASH ROAD-Deoghar,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1103805,Shoppers Stop Ltd-Nucleus Mall-312-RANCHI,Jharkhand,East,Jharkhand,,Shoppers Stop Ltd,Shoppers Stop Ltd,SIS,Customer Code,Confirmed,
1103817,SRIJAN ENTERPRISES-MT-JH-Dhanbad,Jharkhand,East,Jharkhand,,SRIJAN ENTERPRISES-MT-JH,SRIJAN ENTERPRISES-MT-JH,MT,Customer Code,Confirmed,
1103881,Shoppers Stop Ltd-Parikrama-8502-RANCHI,Jharkhand,East,Jharkhand,,Shoppers Stop Ltd,Shoppers Stop Ltd,SIS,Customer Code,Confirmed,
1104313,FRAW-SRIRAM MALL-Dhanbad-Jharkhand,Jharkhand,East,Jharkhand,,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,
1104713,V-Mart -148-BIRSA-JH,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1104714,V-Mart -461-RANCHI-JH,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1104715,V-Mart -455-DHANBAD-JH,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1104716,V-Mart -563-HAZARIBAGH-JH,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1104841,V-Mart -SAKCHI-JH,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1104842,V-Mart -Ranchi,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1104843,V-Mart --Garhwa-JH,Jharkhand,East,Jharkhand,,V-Mart Retail,V-Mart Retail,MT,Customer Code,Confirmed,
1100061,Apollo Healthco(Ho)-Orissa,Odisha,East,Orissa,Orissa,Apollo Healthco(Ho),Apollo Healthco(Ho),MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1100624,R801-KHURDA,Odisha,East,Orissa,Orissa,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1101168,"Chandrasekharpur,Bhubaneswar",Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1101215,M/S Hindustan Agencies,Odisha,East,Orissa,Orissa,M/S Hindustan Agencies,M/S Hindustan Agencies,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa; Source Status=Inactive
1101659,Fsn Distribution_Kairapari,Odisha,East,Orissa,Orissa,Fsn Distribution,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102112,SLMR-RRL VF OR MUKUNDPRASAD GROCERY DC-S,Odisha,East,Orissa,Orissa,Reliance Retail-DC,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102264,6224-Master Canteen SquareKharvela Nagar,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102419,APOLLO HEALTHCO LIMITED-Orissa,Odisha,East,Orissa,Orissa,Apollo Healthco,Apollo Healthco,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102465,FR63-SBZ OD BBNSR ESPLANADE MALL,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102797,T2KM-STORE Berhampur-OR,Odisha,East,Orissa,Orissa,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102804,T3DO-STORE Rourkela-OR,Odisha,East,Orissa,Orissa,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102807,T2NJ-STORE BHADRAK-OR,Odisha,East,Orissa,Orissa,Metro-CNC-RRL,Metro-CNC-RRL,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102886,TW60-SMT OD Bbnsr Patia Sai Suman Cmrcl Cmplx,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102888,TDC7-SMT OD Sambalpur Budharaja mn rd,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102889,FR62-SBZ OD Bbnsr KRISHNA PLAZA,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102890,FRFD-SBZ OD Sambalpur CITY CENTER,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102946,"TH93-Plot No 71(P),72,73,74(P),75(P)-OR",Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1102996,FR64-SBZ OD Bbnsr FORUM MART,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103001,TN56-SMT OD Bbnsr Ananda Export,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103032,Ganapati Distributor MT,Odisha,East,Orissa,Orissa,Ganapati Distribur MT,Ganapati Distribur MT,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa; Source Status=Inactive
1103069,Kalinga Pharmatech-Ascent-OR,Odisha,East,Orissa,Orissa,Ascent Wellness,Ascent Wellness,EB2B,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103113,H&B STORES LIMITED-OR,Odisha,East,Orissa,Orissa,H&B STORES LIMITED-finance use,H&B STORES LIMITED-finance use,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103133,2959-SMT OD Jajapur Santosh Property,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103158,Fsn Distribution Ltd_OR-Nykaa,Odisha,East,Orissa,Orissa,Fsn Distribution,Nykaa E-Retail Limited,EB2B,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103448,TMI6-Divya Jyoti-Angul-OR,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103449,FR67-DN REGALIA-Bhubaneshwar-OR,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103467,T89W-Smart Barbil-ODISHA,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103554,TM27- Mohanty Property Balasore-Balasore,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103744,T63A-SMT OR Cuttack Near SBI ATM CD,Odisha,East,Orissa,Orissa,Reliance Retail-Store,Reliance Retail,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
1103818,SAI SAACHI ASSOCIATES-MT-OR-Khordha,Odisha,East,Orissa,Orissa,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES-MT-OR,MT,Customer Code,Confirmed,State 'Odisha' split by business region: Orissa
